FILM,STARS,RATING,VOTES,YEAR,RottenTomatoes,RottenTomatoes_User,Metacritic,Metacritic_User,IMDB,Metacritic_user_vote_count,IMDB_user_vote_count,Rotten_Diff
'71 (2015),3.5,3.5,192,2015),97,82,83,7.5,7.2,60,24116,15
Clouds of Sils Maria (2015),3.5,3.4,162,2015),89,67,78,7.1,6.8,36,11392,22
Testament of Youth (2015),4.0,3.9,127,2015),81,79,77,7.9,7.3,15,5495,2
Infinitely Polar Bear (2015),4.0,3.9,124,2015),80,76,64,7.9,7.2,8,1062,4
The End of the Tour (2015),4.5,4.1,121,2015),92,89,84,7.5,7.9,19,1320,3
"Two Days, One Night (2014)",3.5,3.5,118,2014),97,78,89,8.8,7.4,123,24345,19
The Overnight (2015),3.5,3.3,110,2015),82,65,65,8.6,6.9,13,867,17
The Last Five Years (2015),4.5,4.4,99,2015),60,60,60,6.9,6.0,20,4110,0
Maggie (2015),3.5,3.3,95,2015),54,32,52,6.5,5.6,90,18986,22
The Salt of the Earth (2015),4.5,4.3,83,2015),96,90,83,7.8,8.4,13,6605,6
A Little Chaos (2015),4.0,3.9,83,2015),40,47,51,7.0,6.4,7,4778,-7
5 Flights Up (2015),4.0,3.6,79,2015),52,47,55,6.8,6.1,6,2174,5
Timbuktu (2015),4.0,3.6,74,2015),99,78,91,6.9,7.2,37,6246,21
Phoenix (2015),3.5,3.4,70,2015),99,81,91,8.0,7.2,21,3687,18
Song of the Sea (2014),4.5,4.3,66,2014),99,92,86,8.2,8.2,62,14067,7
The Wolfpack (2015),3.5,3.4,66,2015),84,73,75,7.0,7.1,8,1488,11
Leviathan (2014),4.0,3.5,64,2014),99,79,92,7.2,7.7,145,22521,20
The 100-Year-Old Man Who Climbed Out the Window and Disappeared (2015),4.0,3.9,63,2015),67,69,58,4.6,7.1,5,17237,-2
Gett: The Trial of Viviane Amsalem (2015),3.5,3.5,59,2015),100,81,90,7.3,7.8,19,1955,19
Welcome to Me (2015),4.0,3.6,56,2015),71,47,67,6.9,5.9,33,8301,24
Dark Places (2015),4.0,3.7,55,2015),26,33,39,7.9,6.3,18,9856,-7
Red Army (2015),4.5,4.1,54,2015),96,86,82,7.4,7.7,11,2275,10
The Stanford Prison Experiment (2015),4.0,3.9,51,2015),84,87,68,8.5,7.1,6,950,-3
Serena (2015),3.0,3.0,50,2015),18,25,36,5.3,5.4,19,12165,-7
Escobar: Paradise Lost (2015),4.0,3.9,48,2015),52,52,56,6.9,6.6,7,7819,0
When Marnie Was There (2015),4.5,4.1,46,2015),89,89,71,6.4,7.8,29,4160,0
Saint Laurent (2015),3.5,3.1,43,2015),51,45,52,6.8,6.3,8,2196,6
About Elly (2015),4.0,3.6,43,2015),97,86,87,9.6,8.2,23,20659,11
The Hunting Ground (2015),4.5,4.1,42,2015),92,72,77,7.8,7.5,6,1196,20
Seymour: An Introduction (2015),4.5,4.2,41,2015),100,87,83,6.0,7.7,4,243,13
"Kumiko, The Treasure Hunter (2015)",3.5,3.5,41,2015),87,63,68,6.4,6.7,19,5289,24
The Diary of a Teenage Girl (2015),4.0,3.6,38,2015),95,81,87,6.3,7.0,18,1107,14
The Wrecking Crew (2015),4.5,4.2,38,2015),93,84,67,7.0,7.8,4,732,9
Tangerine (2015),4.0,3.9,36,2015),95,86,86,7.3,7.4,14,696,9
Maps to the Stars (2015),3.5,3.1,35,2015),60,46,67,5.8,6.3,46,22440,14
